timeframe,strategy,atr_sl,rr,score,trades,return_pct,max_dd_pct,profit_factor,win_rate
W1,donchian_55,2.5,2.5,8.628180354561064,8,9.78,2.97,4.134,0.625
D1,volume_spike_break+HTF_EMA55,2.0,2.0,7.698126803553496,51,55.69,3.94,3.234,0.627
M3,williams_r_reversal+HTF_EMA55,2.0,2.0,7.458192115011083,35,35.66,2.97,3.29,0.629
D1,keltner_break+HTF_EMA55,2.5,3.0,7.380999232774732,57,77.85,4.9,2.907,0.509
D1,adx_rising_break_20,2.0,2.0,7.26263449596617,139,139.13,4.93,2.227,0.547
D1,donchian_20,2.0,2.0,7.232363546562735,198,178.76,7.07,1.878,0.51
D1,adx_donchian_20_strict+HTF_EMA55,2.5,3.0,7.164768925393027,66,82.97,4.9,2.754,0.485
D1,adx_donchian_55+HTF_EMA55,2.5,3.0,7.064496481261478,58,69.24,3.94,2.818,0.483
D1,donchian_55+HTF_EMA55,2.0,2.0,7.008791311487312,104,104.64,6.85,2.487,0.567
D1,donchian_55+HTF_EMA55,2.5,3.0,6.826879604034884,61,70.85,3.94,2.685,0.475
D1,donchian_55,2.0,2.0,6.788767916608143,127,118.9,5.85,2.216,0.543
D1,adx_donchian_20_strict+HTF_EMA55,2.0,2.0,6.736681968589408,107,98.56,4.93,2.368,0.551
D1,donchian_20+HTF_EMA55,2.0,2.0,6.687101879694261,146,129.64,5.88,2.062,0.527
D1,adx_donchian_20+HTF_EMA55,2.0,2.0,6.536865587105772,119,104.34,4.93,2.214,0.538
D1,adx_donchian_55,2.0,2.0,6.44452900732306,115,100.39,4.9,2.206,0.539
D1,adx_rising_break_20+HTF_EMA55,2.0,2.0,6.427122708824882,118,100.33,4.93,2.2,0.534
D1,adx_donchian_55+HTF_EMA55,2.0,2.0,6.40887294472849,98,87.22,6.79,2.364,0.551
D1,donchian_20,2.5,3.0,6.400572895805857,80,86.25,3.94,2.324,0.45
D1,adx_donchian_20+HTF_EMA55,2.5,3.0,6.316991287342273,70,75.76,4.96,2.411,0.457
D1,adx_donchian_20,2.0,2.0,6.232883889430832,145,118.51,6.79,1.972,0.517
D1,donchian_20,2.5,2.5,6.124782572505919,107,100.67,7.73,2.13,0.477
D1,adx_donchian_20_strict,2.0,2.0,6.0926596830477076,138,108.05,6.79,2.007,0.514
D1,keltner_break,2.5,2.5,6.089367736938291,77,72.69,4.9,2.317,0.494
W1,donchian_55,2.5,3.0,6.089320990194938,8,8.12,2.97,2.913,0.5
D1,adx_donchian_20_strict+HTF_EMA55,2.5,2.5,6.054487376490337,77,72.69,5.85,2.323,0.494
D1,donchian_20+HTF_EMA55,2.5,3.0,5.961985097879252,88,86.03,4.96,2.137,0.432
D1,keltner_break+HTF_EMA55,2.5,2.5,5.89968326934377,60,55.16,4.02,2.374,0.5
D1,bb_breakout+HTF_EMA55,2.5,3.0,5.847547330699996,75,73.9,5.85,2.221,0.44
W1,donchian_55,2.0,2.0,5.778408006924442,12,9.24,1.99,2.701,0.583
D1,adx_donchian_20+HTF_EMA55,2.5,2.5,5.766121448066932,86,75.09,5.85,2.159,0.477
D1,donchian_20+HTF_EMA55,2.5,2.5,5.75210556698493,103,88.23,5.85,2.024,0.466
D1,adx_donchian_20_strict,2.5,3.0,5.722097286642042,81,77.22,5.91,2.128,0.432
D1,adx_donchian_55,2.5,3.0,5.711753519462715,71,67.25,4.96,2.198,0.437
D1,volume_spike_break,2.0,2.0,5.686017027539193,70,53.86,5.85,2.315,0.543
D1,donchian_55+HTF_EMA55,2.5,2.5,5.599200405419229,76,62.73,3.94,2.152,0.474
D1,donchian_55,2.5,2.5,5.538846241030825,86,69.11,5.42,2.097,0.465
D1,ema_21_55+HTF_EMA55,2.5,3.0,5.501378803253441,24,21.47,3.94,2.52,0.458
D1,cci_100_cross,2.5,3.0,5.4854911030158044,69,64.02,5.96,2.143,0.435
D1,adx_donchian_55+HTF_EMA55,2.5,2.5,5.468770556890018,70,55.74,3.94,2.158,0.471
D1,supertrend_flip+HTF_EMA55,2.5,3.0,5.4150254877471005,37,35.19,5.07,2.368,0.459
H1,cci_100_cross+HTF_EMA55,2.5,2.5,5.398030564917548,347,152.16,13.67,1.428,0.366
M3,adx_donchian_55,2.0,2.0,5.372739777505123,38,27.76,6.82,2.441,0.553
M3,adx_donchian_55+HTF_EMA55,2.0,2.0,5.372739777505123,38,27.76,6.82,2.441,0.553
D1,adx_rising_break_20+HTF_EMA55,2.5,2.5,5.26551154761907,91,66.51,4.9,1.978,0.451
D1,adx_rising_break_20+HTF_EMA55,2.5,3.0,5.25965644232466,75,60.66,5.85,2.066,0.413
D1,adx_rising_break_20,2.5,3.0,5.248588732580616,74,62.28,6.79,2.067,0.419
D1,donchian_55,2.5,3.0,5.1726232603415605,75,60.66,4.96,2.0,0.413
D1,donchian_10+HTF_EMA55,2.0,2.0,5.111347033025934,175,99.2,7.92,1.644,0.469
D1,adx_rising_break_20,2.5,2.5,5.068436208143214,76,57.17,6.79,2.017,0.461
D1,supertrend_flip+HTF_EMA55,2.0,2.0,5.047659625354243,41,27.72,3.94,2.211,0.537
D1,donchian_10,2.0,2.0,4.973122478295845,230,114.53,11.63,1.52,0.448
M15,ema_50_200,2.0,2.0,4.93263966238,28,18.1,3.94,2.25,0.536
M15,ema_50_200+HTF_EMA55,2.0,2.0,4.93263966238,28,18.1,3.94,2.25,0.536
D1,ema_12_26+HTF_EMA55,2.5,3.0,4.917101153243377,42,33.76,4.0,2.114,0.429
W1,adx_donchian_55,2.0,2.0,4.879026213155595,11,7.1,2.97,2.306,0.545
H1,cci_100_cross+HTF_EMA55,2.5,3.0,4.8650144095728844,289,126.76,12.35,1.392,0.325
D1,bb_breakout+HTF_EMA55,2.5,2.5,4.8615634508364645,88,60.09,5.85,1.865,0.443
D1,keltner_break+HTF_EMA55,2.0,2.0,4.844032567130114,83,52.14,7.78,1.969,0.506
D1,adx_donchian_20_strict,2.5,2.5,4.7504987571285024,99,64.7,6.36,1.779,0.434
D1,cci_100_cross+HTF_EMA55,2.5,3.0,4.706630601524541,83,60.47,7.73,1.842,0.398
H1,adx_donchian_20,2.5,2.5,4.7050368992461395,337,118.63,11.36,1.361,0.356
D1,adx_donchian_20,2.5,3.0,4.699391326482601,66,50.1,6.79,1.916,0.409
D1,ichimoku_tk_cross+HTF_EMA55,2.5,3.0,4.687203500451703,62,44.36,4.05,1.901,0.403
D1,keltner_break,2.5,3.0,4.679674071182718,77,57.46,9.62,1.905,0.403
D1,ichimoku_tk_cross+HTF_EMA55,2.5,2.5,4.642095554805898,63,40.44,4.02,1.906,0.444
D1,volume_spike_break+HTF_EMA55,2.5,2.5,4.634517120663466,44,28.74,3.94,2.015,0.455
D1,volume_spike_break+HTF_EMA55,2.5,3.0,4.633881627971332,41,29.86,5.85,2.061,0.415
D1,bb_breakout,2.5,3.0,4.629708876756699,69,51.53,8.7,1.916,0.406
D1,adx_donchian_55,2.5,2.5,4.628860994928654,80,50.98,5.42,1.831,0.438
M3,adx_donchian_20+HTF_EMA55,2.0,2.0,4.585507127221974,58,32.69,4.9,1.963,0.5
M3,adx_donchian_20_strict+HTF_EMA55,2.0,2.0,4.562049485170096,45,26.41,5.94,2.038,0.511
D1,adx_donchian_20,2.5,2.5,4.54777055971515,89,58.49,8.31,1.787,0.438
D1,ema_21_55+HTF_EMA55,2.5,2.5,4.530917666449842,24,15.14,3.94,2.098,0.458
H1,adx_donchian_20+HTF_EMA55,2.5,2.5,4.504632713112499,313,110.74,11.92,1.353,0.358
D1,bb_breakout,2.0,2.0,4.500780440222607,148,77.25,9.75,1.605,0.466
D1,ema_12_26+HTF_EMA55,2.5,2.5,4.454076111071613,42,26.87,4.46,1.957,0.452
M1,donchian_20+HTF_EMA55,2.0,2.0,4.448970409382917,427,132.38,19.17,1.279,0.403
M1,adx_donchian_20+HTF_EMA55,2.0,2.0,4.446528504692254,264,99.42,9.8,1.368,0.424
D1,bb_breakout+HTF_EMA55,2.0,2.0,4.433594066341533,105,54.86,5.94,1.698,0.476
D1,volume_spike_break,2.5,3.0,4.433359306890294,56,36.15,4.9,1.879,0.393
D1,supertrend_flip+HTF_EMA55,2.5,2.5,4.40979527333384,37,24.45,6.45,2.007,0.459
H1,donchian_10,2.5,3.0,4.383115480115134,329,108.25,11.47,1.318,0.31
D1,ema_50_200+HTF_EMA55,2.5,3.0,4.376120596350794,12,8.05,4.0,2.103,0.417
H4,adx_donchian_20,2.5,2.5,4.348476534197453,58,33.06,4.9,1.858,0.431
D1,ema_9_21+HTF_EMA55,2.5,3.0,4.3046819159363094,53,34.87,5.91,1.852,0.396
D1,donchian_10+HTF_EMA55,2.5,2.5,4.295202811221225,122,66.7,10.95,1.652,0.41
M15,ema_21_55+HTF_EMA55,2.5,2.5,4.214055096080451,41,23.78,6.87,1.931,0.439
H4,ema_21_55+HTF_EMA55,2.0,2.0,4.198199507701334,34,18.03,4.9,1.916,0.5
D1,keltner_break,2.0,2.0,4.156284452346532,127,52.99,4.99,1.561,0.449
W1,cci_100_cross,2.5,2.5,4.152572808918152,9,4.97,1.99,1.965,0.444
D1,ema_50_200+HTF_EMA55,2.0,2.0,4.133680713121249,12,6.03,3.94,1.98,0.5
W1,adx_donchian_20_strict,2.0,2.0,4.131566731037393,14,7.07,2.97,1.944,0.5
H2,macd_cross,2.0,2.0,4.125456121046002,245,73.81,8.0,1.422,0.412
H2,macd_hist_turn,2.0,2.0,4.125456121046002,245,73.81,8.0,1.422,0.412
H1,adx_donchian_20_strict,2.5,2.5,4.089205417151536,289,96.2,14.29,1.351,0.356
D1,donchian_10+HTF_EMA55,2.5,3.0,4.0836848756831055,108,58.3,9.62,1.609,0.361
W1,adx_donchian_55,2.5,2.5,4.066402986152817,9,4.97,2.97,1.947,0.444
D1,psar_flip+HTF_EMA55,2.5,3.0,4.064114625886852,69,39.98,7.78,1.733,0.377
W1,adx_rising_break_20,2.0,2.0,4.0617524033641565,10,5.0,3.0,1.931,0.5
W1,psar_flip,2.0,2.0,4.057204184465885,12,6.03,3.94,1.942,0.5
M3,adx_donchian_20+HTF_EMA55,2.5,2.5,4.038675344103553,37,20.2,6.79,1.879,0.432
D1,volume_spike_break,2.5,2.5,4.028358296752477,60,30.42,4.9,1.728,0.417
M3,donchian_55+HTF_EMA55,2.0,2.0,4.024962378582075,56,27.53,8.76,1.836,0.482
M3,donchian_55,2.0,2.0,4.024962378582075,56,27.53,8.76,1.836,0.482
M15,donchian_20+HTF_EMA55,2.5,2.5,4.019158887287972,94,45.57,7.89,1.65,0.404
H2,roc_momentum_12+HTF_EMA55,2.5,3.0,3.973341956956768,99,47.9,7.73,1.612,0.354
D1,ema_9_21+HTF_EMA55,2.5,2.5,3.9604450105959823,52,27.34,6.36,1.76,0.423
H1,cci_100_cross,2.5,2.5,3.9564312658978453,347,90.97,11.44,1.269,0.343
H4,adx_donchian_55,2.5,2.5,3.936766459234279,53,26.07,5.93,1.752,0.415
H1,volume_spike_break+HTF_EMA55,2.5,2.5,3.935937211002494,358,96.47,13.75,1.261,0.344
H1,donchian_10+HTF_EMA55,2.0,2.0,3.917727606332947,662,111.74,17.51,1.186,0.375
D1,bb_breakout,2.5,2.5,3.915776604866222,80,40.85,8.47,1.658,0.412
D1,sma_50_200+HTF_EMA55,2.5,3.0,3.909941024909986,13,6.97,2.97,1.863,0.385
